report_number,significant,location_latitude,location_longitude
20100170,true,36.77451,-97.75519
20100171,false,30.145766,-94.404044
20100172,false,30.45372,-94.97393
20100173,false,35.55435,-97.10423
20100174,false,32.28594,-94.500617
20100175,false,32.06839,-96.47081
20100176,false,29.630232,-95.058734
20100177,true,30.78251,-90.75851
20100178,false,38.780525,-121.246797
20100179,true,40.36468,-96.65431
20100180,true,38.82204,-90.07892
20100181,true,42.24329,-84.97251
20100182,false,45.792899,-108.474178
20100183,true,34.82512,-97.18992
20100184,false,47.372103,-94.57539
20100185,true,47.38361,-94.63389
20100186,false,37.8875,-97.90877
20100187,false,41.6234,-83.4878
20100188,true,32.06839,-96.47081
20100189,false,38.66916,-104.70138
20100190,false,48.96572,-101.65116
20100191,false,32.11581,-102.29321
20100192,false,32.49783,-98.63633
20100193,false,39.8188,-75.42217
20100194,false,29.726944,-95.203333
20100195,true,29.66904,-95.05733
20100196,false,32.00836,-102.0054
20100197,false,34.43528,-97.98185
20100198,false,31.58929,-95.47697
20100199,true,40.73625,-73.94435
20100200,false,42.63521,-97.3371
20100201,true,41.577697,-87.49049
20100202,false,29.718312,-95.180385
20100203,true,32.46539,-103.57639
20100204,false,35.97916323,-96.00824525
20100205,false,37.08414,-101.32146
20100206,false,37.91083,-92.37944
20100207,true,29.847028,-94.897099
20100208,false,29.84671,-94.9057
20100209,false,42.855444,-106.246861
20100210,true,29.825329,-94.922859
20100211,true,29.73525,-95.02365
20100212,false,36.810495,-97.831946
20100213,true,30.496161,-91.560667
20100214,false,29.54619,-95.213783
20100215,true,28.617778,-92.068889
20100216,false,29.97496932,-94.0572917
20100217,false,38.37239,-97.80143
20100218,false,38.3693,-97.83197
20100219,false,46.71782754,-105.44129948
20100220,true,42.46833,-74.3515
20100221,true,41.655265,-88.076523
20100222,true,42.02244,-91.00488
20100223,false,42.56794,-84.10547
20100224,true,29.816369,-95.18092
20100225,false,32.71141,-99.81866
20100226,false,37.80556,-96.915
20100227,false,39.38235,-87.86195
20100228,true,29.920836,-94.020288
20100229,false,32.7478,-98.9129
20100230,false,47.32444,-93.76306
20100231,false,38.81386,-99.42139
20100232,false,30.1479,-94.4001
20100233,true,30.0795,-92.7465
20100234,false,38.34519,-98.31356
20100235,false,29.98219,-94.06028
20100236,false,29.98219,-94.06028
20100237,false,32.47831,-94.868
20100238,false,30.11356,-92.254
20100239,false,42.9015,-82.5101
20100240,true,33.41305,-102.44337
20100241,true,40.091758,-74.738542
20100242,false,31.434268,-102.440189
20100243,false,35.946697,-96.748707
20100244,false,42.9289,-87.8884
20100245,false,34.94418,-97.47736
20100246,true,33.54657,-96.36906
20100247,true,31.06576,-103.17361
20100248,false,28.9351,-95.3198
20100249,false,29.975,-94.056
20100250,false,37.644112,-88.877277
20100251,false,29.90801,-94.01201
20100252,true,32.6075,-98.1
20100253,false,39.8106,-86.3342
20100254,false,43.94028,-70.49336
20100255,false,30.08533,-94.3805
20100256,false,30.54741,-90.16677
20100257,false,31.63251,-89.52266
20100258,true,33.811699,-118.180656
20100259,false,67.7987,-149.8164
20100260,false,46.6893,-92.0612
20100261,false,29.4305,-95.1201
20100262,true,28.05529,-97.32797
20100263,false,30.02609,-90.85108
20100264,false,33.91269,-98.43935
20100265,false,37.04441,-97.01768
20100266,false,30.43779,-95.62383
20100267,false,37.4175,-100.7953
20100268,false,34.058206,-117.763553
20100269,false,33.863186,-118.163396
20100270,false,29.4745,-95.1642
20100271,true,29.85635,-94.90781
20100272,false,29.1452,-95.68005
20100273,false,34.37306,-97.51083
20100274,false,33.7963,-118.2347
20100275,false,33.25417,-92.61944
20100276,false,29.85836,-94.97929
20100277,true,30.0113,-94.057133
20100278,false,33.31354,-97.86774
20100279,false,34.24278,-97.49972
20100280,false,34.24278,-97.49972
20100281,false,41.7678,-87.82972
20100282,false,31.1591,-94.6759
20100283,false,33.936233,-98.496906
20100284,false,29.19462,-96.98528
20100285,false,36.41936,-97.84852
20100287,true,30.06066,-93.55077
20100288,true,37.89533,-97.88435
20100289,false,32.97722,-87.65444
20100290,true,44.77328,-93.35844
20100291,true,37.742029,-99.217775
20100292,true,35.203837,-98.06593
20100293,false,46.93944,-92.93861
20100294,true,30.5572,-95.5842
20100295,false,31.427166,-102.37033
20100296,false,34.55261,-82.48781
20100297,false,40.57083,-74.25333
20100298,false,38.848525,-90.084617
20100299,true,42.5325,-95.1332
20100300,false,32.775943,-102.959437
20100301,false,40.58925,-74.21709
20100302,false,33.407,-102.448
20100303,false,36.1326083,-96.029061
20100304,false,37.414383,-99.320819
20100305,false,31.8768505,-102.4564661
20100306,false,29.84931,-94.89759
20100307,false,43.26707,-83.25139
20100308,true,46.2199,-109.437
20100309,false,35.119174,-119.378251
20100310,false,33.38649,-100.01332
20100311,true,33.45494,-96.35925
20100312,false,41.60865,-92.13573
20100313,false,41.51718,-92.00372
20100314,false,35.383359,-119.742552
20100315,true,38.94905,-89.75185
20100316,true,30.81167,-94.76787
20100317,true,40.766643,-111.827358
20110002,false,39.36139,-77.03778
20110003,false,39.13805,-94.6025
20110004,false,40.61145,-74.23725
20110005,false,38.34136,-97.66619
20110007,false,46.877218,-96.879506
20110008,true,43.72835,-94.73
20110009,true,29.90087416,-94.00565624
20110010,true,38.501817,-90.589072
20110011,false,42.1514,-83.163
20110012,true,36.93117,-95.90781
20110013,false,40.5566,-93.93892
20110014,true,41.63156,-88.04958
20110015,false,34.92544,-81.87765
20110016,false,40.55081,-97.59588
20110017,true,32.00836,-102.0054
20110018,false,40.606837,-74.219917
20110019,false,29.349,-94.939333
20110020,false,29.76713,-95.156254
20110021,true,30.4342,-92.9503
20110022,false,30.016667,-94.052778
20110023,false,33.573889,-97.873056
20110024,true,38.38166,-97.819444
20110025,true,33.863333,-118.163889
20110026,true,29.72034,-95.10635
20110027,true,43.05284,-93.6389
20110028,false,37.51111,-77.42333
20110029,false,29.717169,-95.179264
20110030,true,41.6136,-88.0536
20110031,true,41.410931,-88.345016
20110032,false,43.42656,-104.91426
20110033,false,35.4855,-100.9402
20110034,false,39.81694,-75.20028
20110035,false,27.5529182,-97.9228261
20110036,false,29.4305,-95.1201
20110037,false,40.57083,-74.25333
20110038,true,70.25666,-148.6203
20110039,false,40.60545,-74.25835
20110040,false,35.96788,-90.85025
20110041,false,39.36139,-77.03778
20110042,false,36.20138,-99.89379
20110043,false,30.16954,-93.33639
20110044,true,35.534236,-98.097395
20110045,true,34.76231,-97.44047
20110046,false,41.55455,-87.88425
20110047,true,35.85326,-103.30167
20110048,false,35.56572,-96.44923
20110049,false,32.4813,-102.8589
20110050,true,29.3753,-89.3561
20110051,true,27.68402,-97.83324
20110052,true,18.44801,-66.07476
20110053,false,40.59348,-74.210174
20110054,false,40.59441,-74.216209
20110055,false,31.55556,-90.3954
20110056,true,30.2298122,-100.646116
20110057,true,29.85325,-94.89837
20110058,true,41.6424,-87.4744
20110059,true,36.892543,-97.759315
20110060,false,41.7731,-110.3453
20110061,true,39.191028,-99.564306
20110062,false,39.60887,-94.3214
20110063,false,35.9375,-96.74833
20110064,true,37.64416,-88.87876
20110065,false,29.885833,-95.410833
20110066,false,44.26055,-93.30194
20110067,false,37.4175,-100.7953
20110068,false,32.532127,-100.842157
20110069,true,32.87476,-91.05339
20110070,true,30.0016,-90.8521
20110071,false,29.4305,-95.1201
20110072,false,29.43573,-95.121835
20110073,false,40.52243,-74.25384
20110074,true,39.896,-75.3586
20110075,false,41.6671,-86.0209
20110076,true,29.84904,-94.90535
20110077,false,34.36098,-97.55678
20110078,true,29.43573,-95.121835
20110079,false,31.1611,-94.6751
20110080,true,39.897834,-75.262507
20110081,true,35.9303,-96.7514
20110082,true,29.848528,-94.905557
20110083,true,33.80933,-118.25413
20110084,false,32.483,-94.8388
20110085,true,32.5409,-94.8693
20110086,true,34.37332,-97.10367
20110087,false,47.55403,-111.28258
20110088,false,43.29194,-95.15111
20110089,false,29.854148,-94.916009
20110090,false,35.56033,-96.44974
20110092,false,48.24063,-101.257672
20110093,false,32.53048,-100.83604
20110094,true,32.75732,-102.90678
20110095,false,47.92555,-104.13833
20110096,false,30.7932,-88.2085
20110097,false,39.75888,-104.81305
20110098,false,39.822925,-75.175452
20110099,true,40.606466,-74.209062
20110101,false,41.7643,-87.8361
20110102,false,30.54741,-90.16677
20110103,false,29.7675,-95.012183
20110104,false,38.36098,-96.27164
20110105,true,29.4009,-94.95689
20110106,true,29.98722,-94.07171
20110107,false,33.97,-98.2215
20110108,false,45.79417,-108.47889
20110109,false,29.9115,-94.093194
20110110,true,44.815639,-108.498916
20110111,false,37.66168,-78.23911
20110112,true,40.593267,-74.209978
20110113,true,35.94595,-96.74872
20110114,false,36.221931,-97.747128
20110115,false,42.278472,-83.123064
20110116,true,30.3892333,-93.985233
20110117,false,38.1337,-85.5012
20110118,true,41.307,-72.90925
20110119,false,35.2858,-80.93179
20110120,true,40.62252,-80.4181
20110121,true,30.354517,-92.709983
20110122,false,40.5161701,-88.3192648
20110123,false,38.792059,-89.079739
20110124,false,40.550972,-97.594715
20110125,false,35.95885,-96.75655
20110126,true,42.73839,-114.948008
20110127,false,28.00917,-97.572805
20110128,false,39.36101,-77.03759
20110129,true,39.86822,-96.0534
20110130,true,46.68889,-92.05972
20110131,false,31.13244,-102.19101
20110132,false,32.017047,-102.026175
20110133,false,31.7765,-96.3957
20110134,false,33.78114,-118.22177
20110135,false,31.49797,-104.14246
20110136,false,46.41379,-97.52251
20110137,false,40.78155,-85.50785
20110138,true,44.5311,-88.0121
20110139,false,36.38298,-97.49642
20110140,true,42.514136,-84.242059
20110141,true,41.639016,-88.124155
20110142,false,32.34464,-94.8804
20110143,false,28.560826,-95.191378
20110144,true,39.080486,-97.35301
20110145,false,38.939028,-97.428013
20110146,false,39.193056,-121.631436
20110147,false,28.480925,-96.37387
20110148,false,38.09973,-98.57896
20110149,false,30.32637,-93.35268
20110150,false,28.3445,-97.1422
20110153,true,38.04121,-97.40789
20110154,false,42.5783333,-107.14709
20110155,true,41.184974,-110.410612
20110156,false,33.86329,-97.95336
20110157,false,31.50653,-95.44006
20110159,false,41.68148,-91.57018
20110160,false,33.5124,-118.2036
20110163,false,33.5352,-118.0842
20110165,true,37.027049,-95.89245
20110171,true,45.95307,-97.9057
20110172,true,40.706216,-84.1146149
20110176,true,39.482631,-84.223042
20110178,true,42.88895,-82.49131
20110180,true,41.04755,-83.73375
20110181,false,37.3612,-97.0539
20110182,false,32.77698,-102.95071
20110183,false,42.26259,-89.17831
20110185,false,32.06456,-96.86533
