report_num,report_received,co_name,significant,lat,long
20100079,5/14/2010,MARATHON PIPE LINE LLC,false,30.70863,-91.27566
20100080,5/14/2010,VALERO TERMINALING AND DISTRIBUTION COMPANY,false,29.99763,-94.07668
20100081,5/17/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,47.31006,-93.73207
20100082,5/17/2010,CCPS TRANSPORTATION LLC,false,40.16833,-90.56593
20100083,5/18/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,38.98742,-97.4042
20100084,5/19/2010,BELLE FOURCHE PIPELINE CO,false,46.851256,-102.770368
20100085,5/19/2010,MAGELLAN PIPELINE COMPANY LP,true,44.000221,-93.782668
20100086,5/20/2010,TESORO - HIGH PLAINS PIPELINE COMPANY,false,48.39475,-102.9138
20100087,5/20/2010,EXPLORER PIPELINE CO,false,38.82204,-90.07892
20100088,5/20/2010,COLONIAL PIPELINE CO,false,33.85651,-84.62941
20100089,5/21/2010,SHELL PIPELINE CO. L.P.,false,29.7268,-95.141
20100090,5/24/2010,TEPPCO CRUDE PIPELINE LLC,true,29.3475,-94.94167
20100091,5/24/2010,PACIFIC PIPELINE SYSTEM LLC,false,35.27901,-119.31192
20100092,5/25/2010,TEPPCO CRUDE PIPELINE LLC,false,32.611,-103.0763
20100093,5/25/2010,MARATHON PIPE LINE LLC,true,40.70942,-81.36428
20100094,5/25/2010,MAGELLAN AMMONIA PIPELINE L.P.,true,38.47623,-97.72254
20100095,5/25/2010,ONEOK NGL PIPELINE LP,true,37.81654,-97.02048
20100096,5/25/2010,CHEVRON PIPE LINE CO,false,42.51862,-114.27034
20100097,5/26/2010,PROGRESS ENERGY,true,27.86028,-82.59958
20100098,5/26/2010,MAGELLAN AMMONIA PIPELINE L.P.,false,42.45589,-95.32798
20100099,5/27/2010,BUCKEYE PARTNERS LP,false,40.6054,-74.2383
20100100,5/27/2010,KOCH PIPELINE COMPANY L.P.,false,46.8197,-95.1489
20100101,5/27/2010,PETROLOGISTICS OLEFINS LLC,false,30.19071,-91.18293
20100102,6/2/2010,HOUSTON REFINING LP.,false,29.706473,-95.2338293
20100103,6/3/2010,TEPPCO CRUDE PIPELINE LLC,true,29.34921,-94.93901
20100104,6/4/2010,EXXONMOBIL OIL CORP - WEST COAST,false,33.735001,-118.27167
20100105,6/4/2010,CALNEV PIPELINE CO,false,36.253344,-115.045311
20100106,6/7/2010,PLAINS MARKETING L.P.,false,35.93749,-96.74417
20100107,6/8/2010,JAYHAWK PIPELINE LLC,false,38.72582,-99.73018
20100108,6/9/2010,KINDER MORGAN CO2 CO. LP,false,32.47042,-102.46394
20100109,6/10/2010,SHELL PIPELINE CO. L.P.,true,30.0119001,-90.8508001
20100110,6/11/2010,COLONIAL PIPELINE CO,false,29.718767,-95.179554
20100111,6/14/2010,CONOCOPHILLIPS,false,33.07358,-98.58654
20100112,6/15/2010,PLAINS PIPELINE L.P.,false,31.42962,-102.380665
20100113,6/16/2010,BELLE FOURCHE PIPELINE CO,false,42.20753,-104.51014
20100114,6/17/2010,BUCKEYE PARTNERS LP,true,40.61428,-74.21755
20100115,6/17/2010,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,false,48.720364,-101.20851
20100116,6/18/2010,CONOCOPHILLIPS,false,39.12851,-94.60705
20100117,6/18/2010,COLONIAL PIPELINE CO,false,34.91801,-81.87401
20100118,6/18/2010,CHEVRON PIPE LINE CO,true,32.56184,-98.350678
20100119,6/21/2010,TC OIL PIPELINE OPERATIONS INC,true,44.62351,-97.92161
20100120,6/23/2010,PLAINS PIPELINE L.P.,false,32.53091,-100.83715
20100121,6/23/2010,MAGELLAN TERMINALS HOLDINGS LP,false,29.71831,-95.18038
20100122,6/23/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,29.88878,-94.84975
20100123,6/24/2010,CONOCOPHILLIPS,false,30.239547,-93.277717
20100124,6/24/2010,ALYESKA PIPELINE SERVICE CO,true,63.93074,-145.76661
20100125,6/25/2010,ROCKY MOUNTAIN PIPELINE SYSTEM LLC,false,39.800348,-104.949162
20100126,6/25/2010,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,29.95687,-90.71667
20100127,6/28/2010,SUNOCO PIPELINE L.P.,false,32.06839,-96.4708
20100128,6/29/2010,CITGO PRODUCTS PIPELINE CO,true,28.85030001,-97.00220001
20100129,6/29/2010,SUNOCO PIPELINE L.P.,false,29.74697,-95.12399
20100130,6/29/2010,AMOCO OIL CO,true,41.844019,-85.741131
20100131,6/29/2010,PLAINS PIPELINE L.P.,true,35.93019,-96.74132
20100132,6/29/2010,ONEOK NGL PIPELINE LP,true,35.55441,-97.10413
20100133,6/30/2010,CONOCOPHILLIPS,true,31.98743,-102.63968
20100134,6/30/2010,SUNOCO PIPELINE L.P.,false,32.48191,-94.83511
20100135,7/1/2010,SHELL PIPELINE CO. L.P.,true,30.0124001,-90.4019001
20100136,7/1/2010,SHELL PIPELINE CO. L.P.,false,30.124278,-90.768367
20100137,7/1/2010,COLONIAL PIPELINE CO,false,33.59667,-81.95333
20100138,7/1/2010,KOCH PIPELINE COMPANY L.P.,false,45.672992,-94.593917
20100139,7/1/2010,CHEVRON PIPE LINE CO,true,35.467203,-119.703991
20100140,7/7/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,44.67167,-90.24833
20100142,7/9/2010,MARATHON PIPE LINE LLC,true,39.506925,-88.065491
20100143,7/9/2010,MARATHON PIPE LINE LLC,false,40.706418,-84.113285
20100144,7/9/2010,SUNOCO PIPELINE L.P.,false,31.65608,-94.84362
20100145,7/9/2010,CONOCOPHILLIPS,false,35.94595,-96.75007
20100146,7/10/2010,CHEVRON PIPE LINE CO,true,40.76505,-111.82493
20100147,7/12/2010,SUNCOR ENERGY (USA) PIPELINE CO.,false,41.123379,-104.783855
20100148,7/15/2010,SUNOCO PIPELINE L.P.,false,30.94037,-94.40322
20100149,7/16/2010,KOCH PIPELINE COMPANY L.P.,false,28.279502,-97.29544
20100150,3/5/2010,TARGA RESOURCES OPERATING LP,true,30.25989,-93.20991
20100151,7/21/2010,MARATHON PIPE LINE LLC,true,28.711239,-89.437681
20100152,7/21/2010,MARATHON PIPE LINE LLC,false,38.828047,-90.085713
20100153,7/22/2010,MARATHON PIPE LINE LLC,false,39.68524,-87.236533
20100154,7/23/2010,KINDER MORGAN LIQUID TERMINALS LLC,false,40.591463,-74.219176
20100155,7/23/2010,WEST TEXAS GULF PIPELINE CO,false,32.53275,-100.82947
20100156,7/27/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,47.32444,-93.76306
20100157,7/27/2010,EXPLORER PIPELINE CO,true,40.647936,-88.340732
20100158,7/28/2010,MAGELLAN PIPELINE COMPANY LP,true,41.31827,-95.93719
20100159,7/28/2010,MAGELLAN AMMONIA PIPELINE L.P.,false,37.84074,-98.41963
20100160,7/30/2010,SUNOCO PIPELINE L.P.,false,36.00943,-96.55946
20100161,7/30/2010,SUNOCO PIPELINE L.P.,false,32.47831,-94.86801
20100162,8/1/2010,WHITE CLIFFS PIPELINE LLC,false,36.01526,-96.75729
20100163,8/2/2010,DIXIE PIPELINE,true,33.53866,-82.53516
20100165,8/5/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,29.62478,-95.09823
20100166,8/5/2010,TC OIL PIPELINE OPERATIONS INC,false,43.965346,-97.694305
20100167,8/6/2010,EXXONMOBIL PIPELINE CO,false,29.630833,-95.119722
20100168,8/9/2010,PLANTATION PIPE LINE CO,false,38.09072,-77.44581
20100169,8/10/2010,ONEOK NGL PIPELINE LP,false,35.23317,-97.60874
20100170,8/10/2010,ONEOK NGL PIPELINE LP,true,36.77451,-97.75519
20100171,8/10/2010,CITGO PIPELINE CO,false,30.145766,-94.404044
20100172,8/10/2010,ONEOK NGL PIPELINE LP,false,30.45372,-94.97393
20100173,8/10/2010,ONEOK NGL PIPELINE LP,false,35.55435,-97.10423
20100174,8/11/2010,EXXONMOBIL PIPELINE CO,false,32.28594,-94.500617
20100175,8/12/2010,SUNOCO PIPELINE L.P.,false,32.06839,-96.47081
20100176,8/13/2010,KOCH PIPELINE COMPANY L.P.,false,29.630232,-95.058734
20100177,8/16/2010,PLANTATION PIPE LINE CO,true,30.78251,-90.75851
20100178,8/16/2010,SFPP LP,false,38.780525,-121.246797
20100179,8/19/2010,MAGELLAN AMMONIA PIPELINE L.P.,true,40.36468,-96.65431
20100180,8/25/2010,EXPLORER PIPELINE CO,true,38.82204,-90.07892
20100181,8/25/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,42.24329,-84.97251
20100182,8/26/2010,CENEX PIPELINE LLC,false,45.792899,-108.474178
20100183,8/27/2010,MAGELLAN PIPELINE COMPANY LP,true,34.82512,-97.18992
20100184,8/27/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,47.372103,-94.57539
20100185,8/27/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,47.38361,-94.63389
20100186,8/29/2010,SEMGROUP LP,false,37.8875,-97.90877
20100187,8/30/2010,MID - VALLEY PIPELINE CO,false,41.6234,-83.4878
20100188,9/1/2010,SUNOCO PIPELINE L.P.,true,32.06839,-96.47081
20100189,9/1/2010,ROCKY MOUNTAIN PIPELINE SYSTEM LLC,false,38.66916,-104.70138
20100190,9/2/2010,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,false,48.96572,-101.65116
20100191,9/2/2010,KINDER MORGAN CO2 CO. LP,false,32.11581,-102.29321
20100192,9/2/2010,WEST TEXAS GULF PIPELINE CO,false,32.49783,-98.63633
20100193,9/2/2010,SUNOCO INC (R&M),false,39.8188,-75.42217
20100194,9/3/2010,KINDER MORGAN LIQUID TERMINALS LLC,false,29.726944,-95.203333
20100195,9/8/2010,BP PIPELINE (NORTH AMERICA) INC.,true,29.66904,-95.05733
20100196,9/10/2010,PLAINS PIPELINE L.P.,false,32.00836,-102.0054
20100197,9/10/2010,PLAINS PIPELINE L.P.,false,34.43528,-97.98185
20100198,9/10/2010,ONEOK NGL PIPELINE LP,false,31.58929,-95.47697
20100199,9/14/2010,BUCKEYE PARTNERS LP,true,40.73625,-73.94435
20100200,9/16/2010,TC OIL PIPELINE OPERATIONS INC,false,42.63521,-97.3371
20100201,9/16/2010,AMOCO OIL CO,true,41.577697,-87.49049
20100202,9/17/2010,MAGELLAN TERMINALS HOLDINGS LP,false,29.718312,-95.180385
20100203,9/21/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,32.46539,-103.57639
20100204,9/21/2010,EXPLORER PIPELINE CO,false,35.97916323,-96.00824525
20100205,9/21/2010,JAYHAWK PIPELINE LLC,false,37.08414,-101.32146
20100206,9/22/2010,ENBRIDGE PIPELINES (OZARK) L.L.C.,false,37.91083,-92.37944
20100207,9/22/2010,LDH ENERGY MONT BELVIEU L.P.,true,29.847028,-94.897099
20100208,9/23/2010,KINDER MORGAN ENERGY PARTNERS L.P.,false,29.84671,-94.9057
20100209,9/24/2010,CONOCOPHILLIPS,false,42.855444,-106.246861
20100210,9/24/2010,CHEVRON PIPE LINE CO,true,29.825329,-94.922859
20100211,9/30/2010,EXXONMOBIL PIPELINE CO,true,29.73525,-95.02365
20100212,9/30/2010,MAGELLAN AMMONIA PIPELINE L.P.,false,36.810495,-97.831946
20100213,10/1/2010,DIXIE PIPELINE,true,30.496161,-91.560667
20100214,10/1/2010,CHEVRON PIPE LINE CO,false,29.54619,-95.213783
20100215,10/4/2010,EXXONMOBIL PIPELINE CO,true,28.617778,-92.068889
20100216,10/4/2010,MOBIL CORP,false,29.97496932,-94.0572917
20100217,10/6/2010,ONEOK NGL PIPELINE LP,false,38.37239,-97.80143
20100218,10/6/2010,ONEOK NGL PIPELINE LP,false,38.3693,-97.83197
20100219,10/6/2010,CENEX PIPELINE LLC,false,46.71782754,-105.44129948
20100220,10/7/2010,TE PRODUCTS PIPELINE COMPANY LLC,true,42.46833,-74.3515
20100221,10/8/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,true,41.655265,-88.076523
20100222,10/11/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,42.02244,-91.00488
20100223,10/11/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,42.56794,-84.10547
20100224,10/11/2010,EXPLORER PIPELINE CO,true,29.816369,-95.18092
20100225,10/12/2010,SUNOCO PIPELINE L.P.,false,32.71141,-99.81866
20100226,10/12/2010,ENBRIDGE PIPELINES (OZARK) L.L.C.,false,37.80556,-96.915
20100227,10/14/2010,BUCKEYE PARTNERS LP,false,39.38235,-87.86195
20100228,10/17/2010,CHEVRON PIPE LINE CO,true,29.920836,-94.020288
20100229,10/20/2010,SUNOCO PIPELINE L.P.,false,32.7478,-98.9129
20100230,10/21/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,47.32444,-93.76306
20100231,10/22/2010,JAYHAWK PIPELINE LLC,false,38.81386,-99.42139
20100232,10/22/2010,WEST TEXAS GULF PIPELINE CO,false,30.1479,-94.4001
20100233,10/22/2010,SHELL PIPELINE CO. L.P.,true,30.0795,-92.7465
20100234,10/22/2010,JAYHAWK PIPELINE LLC,false,38.34519,-98.31356
20100235,10/26/2010,SUNOCO PIPELINE L.P.,false,29.98219,-94.06028
20100236,10/28/2010,SUNOCO PIPELINE L.P.,false,29.98219,-94.06028
20100237,10/28/2010,SUNOCO PIPELINE L.P.,false,32.47831,-94.868
20100238,11/5/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,30.11356,-92.254
20100239,11/5/2010,SUNOCO PIPELINE L.P.,false,42.9015,-82.5101
20100240,11/10/2010,CENTURION PIPELINE L.P.,true,33.41305,-102.44337
20100241,11/11/2010,HARBOR PIPELINE CO,true,40.091758,-74.738542
20100242,11/15/2010,TEPPCO CRUDE PIPELINE LLC,false,31.434268,-102.440189
20100243,11/17/2010,TEPPCO CRUDE PIPELINE LLC,false,35.946697,-96.748707
20100244,11/17/2010,WEST SHORE PIPELINE CO,false,42.9289,-87.8884
20100245,11/18/2010,ONEOK NGL PIPELINE LP,false,34.94418,-97.47736
20100246,11/18/2010,ONEOK NGL PIPELINE LP,true,33.54657,-96.36906
20100247,11/19/2010,KINDER MORGAN CO2 CO. LP,true,31.06576,-103.17361
20100248,11/22/2010,ENTERPRISE CRUDE PIPELINE LLC,false,28.9351,-95.3198
20100249,11/22/2010,COLONIAL PIPELINE CO,false,29.975,-94.056
20100250,11/22/2010,MARATHON PIPE LINE LLC,false,37.644112,-88.877277
20100251,11/22/2010,COLONIAL PIPELINE CO,false,29.90801,-94.01201
20100252,11/22/2010,CHEVRON PIPE LINE CO,true,32.6075,-98.1
20100253,11/23/2010,BUCKEYE PARTNERS LP,false,39.8106,-86.3342
20100254,1/21/2010,PORTLAND PIPELINE CORP,false,43.94028,-70.49336
20100255,2/5/2010,MOBIL CORP,false,30.08533,-94.3805
20100256,3/11/2010,PLANTATION PIPE LINE CO,false,30.54741,-90.16677
20100257,2/18/2010,PLANTATION PIPE LINE CO,false,31.63251,-89.52266
20100258,11/23/2010,BP WEST COAST PRODUCTS L.L.C.,true,33.811699,-118.180656
20100259,11/24/2010,ALYESKA PIPELINE SERVICE CO,false,67.7987,-149.8164
20100260,2/12/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,46.6893,-92.0612
20100261,11/24/2010,KINDER MORGAN LIQUID TERMINALS LLC,false,29.4305,-95.1201
20100262,2/10/2010,NUSTAR LOGISTICS L.P.,true,28.05529,-97.32797
20100263,9/17/2010,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,false,30.02609,-90.85108
20100264,9/28/2010,NUSTAR LOGISTICS L.P.,false,33.91269,-98.43935
20100265,10/4/2010,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,37.04441,-97.01768
20100266,10/18/2010,MAGELLAN PIPELINE COMPANY LP,false,30.43779,-95.62383
20100267,11/29/2010,JAYHAWK PIPELINE LLC,false,37.4175,-100.7953
20100268,11/30/2010,SFPP LP,false,34.058206,-117.763553
20100269,11/30/2010,BP WEST COAST PRODUCTS L.L.C.,false,33.863186,-118.163396
20100270,12/2/2010,MAGELLAN PIPELINE COMPANY LP,false,29.4745,-95.1642
20100271,12/2/2010,ONEOK NGL PIPELINE LP,true,29.85635,-94.90781
20100272,12/3/2010,ENTERPRISE CRUDE PIPELINE LLC,false,29.1452,-95.68005
20100273,12/3/2010,ENTERPRISE CRUDE PIPELINE LLC,false,34.37306,-97.51083
20100274,12/3/2010,SHELL PIPELINE CO. L.P.,false,33.7963,-118.2347
20100275,12/6/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,33.25417,-92.61944
20100276,12/6/2010,COLONIAL PIPELINE CO,false,29.85836,-94.97929
20100277,12/6/2010,ENTERPRISE PRODUCTS OPERATING LLC,true,30.0113,-94.057133
20100278,12/6/2010,ENTERPRISE CRUDE PIPELINE LLC,false,33.31354,-97.86774
20100279,12/6/2010,ENTERPRISE CRUDE PIPELINE LLC,false,34.24278,-97.49972
20100280,12/6/2010,ENTERPRISE CRUDE PIPELINE LLC,false,34.24278,-97.49972
20100281,12/6/2010,KINDER MORGAN LIQUID TERMINALS LLC,false,41.7678,-87.82972
20100282,12/6/2010,SUNOCO PIPELINE L.P.,false,31.1591,-94.6759
20100283,12/6/2010,CONOCOPHILLIPS,false,33.936233,-98.496906
20100284,12/7/2010,ENTERPRISE CRUDE PIPELINE LLC,false,29.19462,-96.98528
20100285,12/7/2010,SUNOCO PIPELINE L.P.,false,36.41936,-97.84852
20100287,12/9/2010,SHELL PIPELINE CO. L.P.,true,30.06066,-93.55077
20100288,12/9/2010,SEMGROUP LP,true,37.89533,-97.88435
20100289,12/10/2010,COLONIAL PIPELINE CO,false,32.97722,-87.65444
20100290,12/10/2010,MAGELLAN PIPELINE COMPANY LP,true,44.77328,-93.35844
20100291,12/10/2010,ONEOK NGL PIPELINE LP,true,37.742029,-99.217775
20100292,12/10/2010,ONEOK NGL PIPELINE LP,true,35.203837,-98.06593
20100293,12/10/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,46.93944,-92.93861
20100294,12/10/2010,SUNOCO PIPELINE L.P.,true,30.5572,-95.5842
20100295,12/10/2010,MAGELLAN PIPELINE COMPANY LP,false,31.427166,-102.37033
20100296,12/10/2010,COLONIAL PIPELINE CO,false,34.55261,-82.48781
20100297,12/13/2010,COLONIAL PIPELINE CO,false,40.57083,-74.25333
20100298,12/13/2010,AMOCO OIL CO,false,38.848525,-90.084617
20100299,12/13/2010,MAGELLAN AMMONIA PIPELINE L.P.,true,42.5325,-95.1332
20100300,12/14/2010,ENTERPRISE PRODUCTS OPERATING LLC,false,32.775943,-102.959437
20100301,12/14/2010,KINDER MORGAN LIQUID TERMINALS LLC,false,40.58925,-74.21709
20100302,12/15/2010,ROADRUNNER PIPELINE L.L.C.,false,33.407,-102.448
20100303,12/15/2010,MAGELLAN PIPELINE COMPANY LP,false,36.1326083,-96.029061
20100304,12/16/2010,JAYHAWK PIPELINE LLC,false,37.414383,-99.320819
20100305,12/16/2010,PLAINS PIPELINE L.P.,false,31.8768505,-102.4564661
20100306,12/16/2010,DIXIE PIPELINE,false,29.84931,-94.89759
20100307,12/21/2010,ENBRIDGE ENERGY LIMITED PARTNERSHIP,false,43.26707,-83.25139
20100308,12/22/2010,KINDER MORGAN PIPELINES (USA) INC,true,46.2199,-109.437
20100309,12/23/2010,CHEVRON PIPE LINE CO,false,35.119174,-119.378251
20100310,12/23/2010,KINDER MORGAN CO2 CO. LP,false,33.38649,-100.01332
20100311,12/24/2010,ONEOK NGL PIPELINE LP,true,33.45494,-96.35925
20100312,12/27/2010,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,41.60865,-92.13573
20100313,12/27/2010,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,41.51718,-92.00372
20100314,12/27/2010,CHEVRON PIPE LINE CO,false,35.383359,-119.742552
20100315,12/29/2010,BUCKEYE PARTNERS LP,true,38.94905,-89.75185
20100316,12/30/2010,SUNOCO PIPELINE L.P.,true,30.81167,-94.76787
20100317,12/30/2010,CHEVRON PIPE LINE CO,true,40.766643,-111.827358
20110002,1/3/2011,COLONIAL PIPELINE CO,false,39.36139,-77.03778
20110003,1/3/2011,MAGELLAN PIPELINE COMPANY LP,false,39.13805,-94.6025
20110004,1/4/2011,BUCKEYE PARTNERS LP,false,40.61145,-74.23725
20110005,1/5/2011,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,38.34136,-97.66619
20110007,1/5/2011,MAGELLAN PIPELINE COMPANY LP,false,46.877218,-96.879506
20110008,1/6/2011,ENTERPRISE PRODUCTS OPERATING LLC,true,43.72835,-94.73
20110009,1/6/2011,EXPLORER PIPELINE CO,true,29.90087416,-94.00565624
20110010,1/7/2011,CONOCOPHILLIPS,true,38.501817,-90.589072
20110011,1/7/2011,BUCKEYE PARTNERS LP,false,42.1514,-83.163
20110012,1/7/2011,COFFEYVILLE RESOURCES CRUDE TRANSPORTATION LLC,true,36.93117,-95.90781
20110013,1/7/2011,KOCH PIPELINE COMPANY L.P.,false,40.5566,-93.93892
20110014,1/12/2011,WEST SHORE PIPELINE CO,true,41.63156,-88.04958
20110015,1/12/2011,PLANTATION PIPE LINE CO,false,34.92544,-81.87765
20110016,1/12/2011,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,false,40.55081,-97.59588
